disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D003424	genus	2992720	2	0.040215011	0.040215011	0.042164791
D003424	genus	191	1	0.18351909	0.18351909	
D003424	genus	507	1	0.097365716	0.097365716	
D003424	genus	590	1	0.09806	0.09806	
D003424	genus	629	1	0.014229996	0.014229996	
D003424	genus	810	1	0.090370018	0.090370018	
D003424	genus	893	1	0.10778387	0.10778387	
D003424	genus	939	1	0.066614183	0.066614183	
D003424	genus	958	1	0.01973165	0.01973165	
D003424	genus	1060	1	0.087450809	0.087450809	
D003424	genus	1649	1	0.283388193	0.283388193	
D003424	genus	1707	1	0.090521143	0.090521143	
D003424	genus	1817	1	0.153906867	0.153906867	
D003424	genus	2023	1	0.092598717	0.092598717	
D003424	genus	2038	1	0.008770004	0.008770004	
D003424	genus	2737	1	0.60358	0.60358	
D003424	genus	2753	1	0.095245654	0.095245654	
D003424	genus	4919	1	0.080639992	0.080639992	
D003424	genus	28065	1	0.071619557	0.071619557	
D003424	genus	29330	1	0.085984523	0.085984523	
D003424	genus	29393	1	0.0552868	0.0552868	
D003424	genus	29407	1	0.047355959	0.047355959	
D003424	genus	32012	1	0.369899434	0.369899434	
D003424	genus	33958	1	0.045526975	0.045526975	
D003424	genus	34104	1	0.28566482	0.28566482	
D003424	genus	35812	1	0.148735746	0.148735746	
D003424	genus	41273	1	2.143707821	2.143707821	
D003424	genus	43668	1	0.052618991	0.052618991	
D003424	genus	45667	1	0.377358491	0.377358491	
D003424	genus	45989	1	0.012808876	0.012808876	
D003424	genus	46913	1	0.120405128	0.120405128	
D003424	genus	49279	1	0.010383138	0.010383138	
D003424	genus	55968	1	1.667328305	1.667328305	
D003424	genus	56999	1	0.077265973	0.077265973	
D003424	genus	57495	1	0.079370329	0.079370329	
D003424	genus	65551	1	0.018263728	0.018263728	
D003424	genus	69965	1	0.000804089	0.000804089	
D003424	genus	75309	1	0.052618991	0.052618991	
D003424	genus	82373	1	0.000423468	0.000423468	
D003424	genus	86795	1	0.063141279	0.063141279	
D003424	genus	118966	1	0.012374706	0.012374706	
D003424	genus	141948	1	0.27981059	0.27981059	
D003424	genus	150203	1	0.040793016	0.040793016	
D003424	genus	150247	1	0.597524541	0.597524541	
D003424	genus	151037	1	0.027107617	0.027107617	
D003424	genus	157920	1	0.310755961	0.310755961	
D003424	genus	165695	1	0.264567762	0.264567762	
D003424	genus	166953	1	0.018613309	0.018613309	
D003424	genus	167639	1	8e-05	8e-05	
D003424	genus	168470	1	0.00351	0.00351	
D003424	genus	173479	1	0.236779795	0.236779795	
D003424	genus	174708	1	0.033967391	0.033967391	
D003424	genus	182709	1	9.274378497	9.274378497	
D003424	genus	203133	1	0.188379981	0.188379981	
D003424	genus	207599	1	0.205209155	0.205209155	
D003424	genus	265718	1	0.014253813	0.014253813	
D003424	genus	290425	1	0.179694519	0.179694519	
D003424	genus	294702	1	0.052913552	0.052913552	
D003424	genus	295418	1	0.165258906	0.165258906	
D003424	genus	329857	1	0.090406297	0.090406297	
D003424	genus	384638	1	0.553301365	0.553301365	
D003424	genus	413496	1	0.00123	0.00123	
D003424	genus	414371	1	0.301952627	0.301952627	
D003424	genus	416949	1	0.015574707	0.015574707	
D003424	genus	455358	1	0.110021526	0.110021526	
D003424	genus	457476	1	0.073810642	0.073810642	
D003424	genus	471824	1	0.059194949	0.059194949	
D003424	genus	489909	1	4.173234552	4.173234552	
D003424	genus	582472	1	0.017300003	0.017300003	
D003424	genus	660514	1	0.000832304	0.000832304	
D003424	genus	665874	1	0.009704969	0.009704969	
D003424	genus	674963	1	0.272449918	0.272449918	
D003424	genus	908935	1	0.159568615	0.159568615	
D003424	genus	1004303	1	0.044184791	0.044184791	
D003424	genus	1154586	1	0.074980268	0.074980268	
D003424	genus	1155385	1	0.0772698	0.0772698	
